date;Termica;Nuclear;Renovable con hidro;Renovable;hidro;total (mwh)
ene-21;8,630,661;677,848;3,589,859;1,444,503;2,145,356;12,898,369
feb-21;6,679,950;528,529;3,721,588;1,181,240;2,540,348;10,930,068
mar-21;7,483,274;710,676;3,310,073;1,318,855;1,991,218;11,504,022
abr-21;6,828,791;531,195;2,780,993;1,290,542;1,490,451;10,140,979
may-21;7,159,561;715,913;3,358,965;1,312,137;2,046,829;11,234,440
jun-21;8,266,950;1,063,883;3,165,999;1,389,128;1,776,872;12,496,833
jul-21;8,430,796;1,101,359;3,416,140;1,597,899;1,818,242;12,948,295
ago-21;8,522,299;1,062,895;3,171,636;1,554,438;1,617,198;12,756,830
sep-21;6,871,613;778,492;3,703,323;1,469,642;2,233,681;11,353,428
oct-21;6,154,825;908,898;4,147,809;1,723,043;2,424,766;11,211,532
nov-21;6,669,668;1,064,706;3,673,152;1,602,594;2,070,558;11,407,525
dic-21;8,375,964;1,025,298;3,513,396;1,552,679;1,960,717;12,914,658
ene-22;8,937,725;976,682;3,637,670;1,657,578;1,980,092;13,552,077
feb-22;7,170,630;893,001;2,848,299;1,478,992;1,369,307;10,911,931
mar-22;7,163,120;752,007;3,339,968;1,735,387;1,604,581;11,255,096
abr-22;5,992,619;657,873;3,800,197;1,615,654;2,184,544;10,450,689
may-22;7,038,385;629,334;3,758,826;1,468,675;2,290,151;11,426,545
jun-22;7,491,410;678,920;4,438,361;1,400,996;3,037,364;12,608,691
jul-22;7,328,242;737,094;4,037,618;1,563,730;2,473,888;12,102,954
ago-22;6,126,713;948,539;4,242,275;1,587,743;2,654,533;11,317,527
sep-22;5,461,399;700,037;3,871,990;1,604,589;2,267,401;10,033,425
oct-22;5,053,708;67,876;5,572,260;1,822,412;3,749,848;10,693,844
nov-22;6,229,656;34,437;5,357,157;1,663,577;3,693,581;11,621,250
dic-22;7,757,286;393,354;4,621,934;1,740,899;2,881,035;12,772,574
ene-23;8,453,591;632,802;4,277,735;1,642,374;2,635,361;13,364,128
feb-23;6,910,559;621,719;4,176,386;1,523,923;2,652,462;11,708,663
mar-23;8,053,423;634,418;4,868,269;1,553,801;3,314,468;13,556,111
abr-23;5,107,461;669,653;3,773,587;1,488,184;2,285,404;9,550,702
may-23;6,491,799;679,911;3,550,396;1,493,570;2,056,826;10,722,106
jun-23;7,277,903;680,767;3,814,769;1,567,766;2,247,004;11,773,440
jul-23;6,424,053;701,867;5,161,107;1,449,191;3,711,916;12,287,027
ago-23;5,424,159;722,567;6,051,232;1,909,066;4,142,166;12,197,958
sep-23;4,708,873;808,509;5,858,552;1,686,399;4,172,152;11,375,934
oct-23;4,061,711;859,489;6,055,863;1,897,049;4,158,815;10,977,064
nov-23;4,896,466;870,266;5,826,509;2,042,683;3,783,826;11,593,241
dic-23;5,210,098;1,081,053;6,003,344;1,831,928;4,171,416;12,294,494
ene-24;7,018,728;1,138,524;5,729,255;1,984,807;3,744,448;13,886,507
feb-24;7,446,869;990,164;4,574,935;1,708,620;2,866,315;13,011,968
mar-24;6,889,812;1,096,785;4,401,207;1,956,706;2,444,501;12,387,803
abr-24;5,236,936;1,114,428;4,145,968;1,856,425;2,289,543;10,497,332
may-24;6,309,086;1,129,021;4,822,301;1,515,887;3,306,414;12,260,407
jun-24;6,074,043;1,129,618;3,849,846;1,606,535;2,243,311;11,053,507
