id_subsistena;Años (din_instante);Meses (din_instante);Suma de val_gerhidraulica;Suma de val_gertermica;Suma de val_gereolica;Suma de val_gersolar
SIN;2022;1;39192611.08;8680284.001;4738960.944;818493.75
SIN;2022;2;38153485.24;6000262.415;4613552.929;799564.003
SIN;2022;3;43129554.83;5773108.49;5472258.523;887322.649
SIN;2022;4;39309946.33;4571630.345;5096418.726;869893.811
SIN;2022;5;37250508.86;6147816.166;5982577.401;840626.061
SIN;2022;6;34532204.95;6597950.522;5924103.086;828649.609
SIN;2022;7;33926729.81;6527336.382;8348661.311;954863.353
SIN;2022;8;32578370.1;7071480.779;9334555.921;1100561.943
SIN;2022;9;31738957.4;6844906.541;9235083.571;1209164.607
SIN;2022;10;33169743.14;6933144.341;9718336.632;1337896.737
SIN;2022;11;36289040.94;5771990.918;6211097.222;1170118.43
SIN;2022;12;38617606.29;5426912.469;6538296.374;1272796.827
SIN;2023;1;40836175.47;4812963.471;6494718.977;1355536.855
SIN;2023;2;38794731.49;3743021.428;6690821.532;1349230.573
SIN;2023;3;44976523.82;4368076.462;6258100.081;1395882.214
SIN;2023;4;39063389.42;5400425.968;4966606.512;1500289.447
SIN;2023;5;36745486.93;6232478.472;7024568.19;3612429.241
SIN;2023;6;31328477.16;7294424.563;8756039.971;3410669.447
SIN;2023;7;30975675.54;7094377.576;10122771.88;3955898.899
SIN;2023;8;33186529.99;7149598.422;9278714.789;4500673.421
SIN;2023;9;33855687.21;6483644.26;9344526.374;4913894.94
SIN;2023;10;36581654.4;5761219.644;9845874.465;5246862.601
SIN;2023;11;37136737.16;6899562.668;8189615.812;5832561.987
SIN;2023;12;38608568.19;7034332.352;8405260.049;5935356.862
SIN;2024;1;41807076;5909685.681;5565846.19;5709949.004
SIN;2024;2;41158039.61;4866242.938;6339384.52;5458493.498
SIN;2024;3;45319554.45;4845625.145;5302217.979;5849989.33
SIN;2024;4;40914898.06;4940947.259;6003793.409;5477865.847
SIN;2024;5;37427924.02;5976078.423;8899729.807;5314747.538
SIN;2024;6;32353430.27;6560829.156;9744690.602;4970977.873
SIN;2024;7;31610175.18;7916976.945;11084916.23;5395615.196
SIN;2024;8;28256830.62;8260454.378;11244858.79;5806629.847
